Regions,Cells,Neurons,Glia,Excitatory,Inhibitory,Modulatory,Astrocytes,Oligodendrocytes,Microglia
Anterior cingulate area dorsal part layer 6b,8173,3160,5013,2501,630,29,226,3969,818
Anterior cingulate area ventral part,389955,213840,176115,166664,45458,1718,26516,82437,67162
Anterior cingulate area ventral part layer 1,80931,42547,38384,0,42290,257,8114,8159,22111
Anterior cingulate area ventral part layer 2/3,142080,83958,58122,82171,1118,669,11327,21504,25291
Anterior cingulate area ventral part layer 5,110019,59721,50298,58047,1120,554,5634,29146,15518
Anterior cingulate area ventral part 6a,49072,24207,24865,23323,672,212,1241,19805,3819
Anterior cingulate area ventral part 6b,7853,3407,4446,3123,258,26,200,3823,423
Prelimbic area,269615,149513,120102,122387,25561,1565,13933,50605,55564
Prelimbic area layer 1,36119,19781,16338,0,19589,192,2366,2393,11579
Prelimbic area layer 2,36485,24332,12153,23904,233,195,2227,2816,7110
Prelimbic area layer 2/3,74074,43309,30765,40995,1832,482,4243,8785,17737
Prelimbic area layer 5,75475,40254,35221,38355,1438,461,3404,17443,14374
Prelimbic area layer 6a,44245,20278,23967,18306,1746,226,1580,17768,4619
Prelimbic area layer 6b,3217,1559,1658,827,723,9,113,1400,145
Infralimbic area,285779,163567,122212,135406,26770,1391,15917,77737,28558
Infralimbic area layer 1,28847,17677,11170,0,17586,91,2075,2334,6761
Infralimbic area layer 2,10831,6170,4661,5957,156,57,906,2744,1011
Infralimbic area layer 2/3,82350,51072,31278,49483,1219,370,5934,13892,11452
Infralimbic area layer 5,81378,46304,35074,42800,3024,480,3818,24043,7213
Infralimbic area layer 6a,68867,35674,33193,31710,3624,340,2862,28291,2040
Infralimbic area layer 6b,13506,6670,6836,5456,1161,53,322,6433,81
Orbital area,639145,345643,293502,285001,58322,2320,44592,164073,84837
Orbital area lateral part,256755,132949,123806,112878,19186,885,19172,79678,24956
Orbital area lateral part layer 1,29869,15993,13876,0,15943,50,3535,7550,2791
Orbital area lateral part layer 2/3,111924,62860,49064,60605,1868,387,8728,30700,9636
Orbital area lateral part layer 5,77376,37528,39848,36166,1012,350,5001,26815,8032
Orbital area lateral part layer 6a,37485,16530,20955,16093,340,97,1905,14564,4486
Orbital area lateral part layer 6b,101,38,63,14,23,1,3,49,11
Orbital area medial part,155377,85608,69769,68531,16378,699,8365,32023,29381
Orbital area medial part layer 1,20827,12075,8752,0,12003,72,1596,1420,5736
Orbital area medial part layer 2,16967,10857,6110,10570,243,44,1288,1637,3185
Orbital area medial part layer 2/3,54427,32285,22142,29484,2546,255,2753,7683,11706
Orbital area medial part layer 5,42393,21583,20810,20001,1354,228,1705,12121,6984
Orbital area medial part layer 6a,20763,8808,11955,8476,232,100,1023,9162,1770
Orbital area ventrolateral part,227013,127086,99927,103592,22758,736,17055,52372,30500
Orbital area ventrolateral part layer 1,28735,16067,12668,0,15995,72,3053,3189,6426
Orbital area ventrolateral part layer 2/3,112014,67517,44497,63157,4023,337,7978,22259,14260
Orbital area ventrolateral part layer 5,41668,20952,20716,20001,777,174,2780,12058,5878
Orbital area ventrolateral part layer 6a,44328,22450,21878,20412,1885,153,3226,14741,3911
Orbital area ventrolateral part layer 6b,268,100,168,22,78,0,18,125,25
Agranular insular area,598102,351937,246165,304318,45504,2115,59789,127354,59022
Agranular insular area dorsal part,298910,171186,127724,149784,20295,1107,38647,64171,24906
Agranular insular area dorsal part layer 1,30478,17628,12850,0,17607,21,5992,4600,2258
Agranular insular area dorsal part layer 2/3,140130,83746,56384,82306,1064,376,19673,25226,11485
Agranular insular area dorsal part layer 5,93407,51049,42358,49469,1022,558,10214,24430,7714
Agranular insular area dorsal part layer 6a,33205,17930,15275,17308,476,146,2634,9358,3283
Agranular insular area dorsal part layer 6b,1690,833,857,701,126,6,134,557,166
Agranular insular area posterior part,160656,101514,59142,84428,16597,489,3529,31681,23932
